quantity,time,mean,stderr,benchmark
S,0.0,1.2,0.0,1.2
S,0.08333333333333333,1.1993012703531116,0.000760146556532017,1.2
S,0.16666666666666666,1.19859531161147,0.0010820617377354292,1.2
S,0.25,1.199107407126812,0.0013269039398852171,1.2
S,0.3333333333333333,1.1994673486719103,0.0015208229599795629,1.2
S,0.41666666666666663,1.1985583293875113,0.0016984550339679972,1.2
S,0.5,1.1990226424026107,0.0018522856338060105,1.2
S,0.5833333333333333,1.199858164469156,0.001987888338478797,1.2
S,0.6666666666666666,1.200615323311614,0.0021318756656311666,1.2
S,0.75,1.2013474716349861,0.0022616519263783273,1.2
S,0.8333333333333333,1.2005679880502682,0.002368058910555275,1.2
S,0.9166666666666666,1.2006894727398123,0.0024815033356052688,1.2
Put,0.0,0.0829584969964589,0.0,0.0829584969964589
Put,0.08333333333333333,0.0833693237596887,0.0005405738984185796,0.0829584969964589
Put,0.16666666666666666,0.08391758596867044,0.0007790667894851212,0.0829584969964589
Put,0.25,0.0838282407246037,0.0009595921543397243,0.0829584969964589
Put,0.3333333333333333,0.08393429616916386,0.0010980804490412642,0.0829584969964589
Put,0.41666666666666663,0.08425268876720564,0.0012274004531067444,0.0829584969964589
Put,0.5,0.0838217154429153,0.0013367370721749038,0.0829584969964589
Put,0.5833333333333333,0.0829429065828915,0.0014303982435507267,0.0829584969964589
Put,0.6666666666666666,0.0824443349540115,0.0015174274858830892,0.0829584969964589
Put,0.75,0.08207536339558717,0.0016006291254143836,0.0829584969964589
Put,0.8333333333333333,0.08231315161413348,0.0016869250496998952,0.0829584969964589
Put,0.9166666666666666,0.08231056515528137,0.0017672125696113939,0.0829584969964589
Call,0.0,0.0829584969964589,0.0,0.0829584969964589
Call,0.08333333333333333,0.0826705941128004,0.0003694015670929921,0.0829584969964589
Call,0.16666666666666666,0.08251289758014048,0.0005052358036277216,0.0829584969964589
Call,0.25,0.08293564785141562,0.0006200341113400902,0.0829584969964589
Call,0.3333333333333333,0.08340164484107433,0.0007105028777970453,0.0829584969964589
Call,0.41666666666666663,0.0828110181547169,0.0007880178109209164,0.0829584969964589
Call,0.5,0.08284435784552613,0.000864420337101764,0.0829584969964589
Call,0.5833333333333333,0.08280107105204759,0.0009338365254428709,0.0829584969964589
Call,0.6666666666666666,0.08305965826562557,0.0010300783946304982,0.0829584969964589
Call,0.75,0.08342283503057339,0.00110647860755671,0.0829584969964589
Call,0.8333333333333333,0.08288113966440155,0.0011411681285569528,0.0829584969964589
Call,0.9166666666666666,0.08300003789509353,0.0012032686914449833,0.0829584969964589
Pcn,0.0,0.39284844205286257,0.0,0.39284844205286257
Pcn,0.08333333333333333,0.39409580408018585,0.0016959976733557556,0.39284844205286257
Pcn,0.16666666666666666,0.3944769331173586,0.0022286260680914544,0.39284844205286257
Pcn,0.25,0.39347054105547613,0.0025840460997685385,0.39284844205286257
Pcn,0.3333333333333333,0.3927077020347967,0.002870221723345548,0.39284844205286257
Pcn,0.41666666666666663,0.39500831920551266,0.0031572256690460734,0.39284844205286257
Pcn,0.5,0.39429201770648314,0.0034103006699981783,0.39284844205286257
Pcn,0.5833333333333333,0.3936392706707822,0.0036641644276463516,0.39284844205286257
Pcn,0.6666666666666666,0.39355853643308253,0.003918842567941968,0.39284844205286257
Pcn,0.75,0.3931198925413597,0.004185710762491719,0.39284844205286257
Pcn,0.8333333333333333,0.3925181570439796,0.004456797972596387,0.39284844205286257
Pcn,0.9166666666666666,0.39342612679810385,0.004781445316791124,0.39284844205286257
Pan,0.0,0.38845963346697615,0.0,0.38845963346697615
Pan,0.08333333333333333,0.38954564113653434,0.0015817286268174904,0.38845963346697615
Pan,0.16666666666666666,0.38945473377215983,0.002059490996508249,0.38845963346697615
Pan,0.25,0.38833640854196766,0.002391903845599247,0.38845963346697615
Pan,0.3333333333333333,0.3873149462725922,0.002662406121331221,0.38845963346697615
Pan,0.41666666666666663,0.3897572942794095,0.002947335722708134,0.38845963346697615
Pan,0.5,0.38932870580486445,0.003209195107155276,0.38845963346697615
Pan,0.5833333333333333,0.38942421822204715,0.0034833114798774488,0.38845963346697615
Pan,0.6666666666666666,0.3898259087656875,0.003762233313964239,0.38845963346697615
Pan,0.75,0.3896685076540445,0.0040577325243583845,0.38845963346697615
Pan,0.8333333333333333,0.388708636838642,0.004358006481215702,0.38845963346697615
Pan,0.9166666666666666,0.38980078700244325,0.004746871337219552,0.38845963346697615
Ccn,0.0,0.6071515579471374,0.0,0.6071515579471374
Ccn,0.08333333333333333,0.6059041959198141,0.0016959976733557556,0.6071515579471374
Ccn,0.16666666666666666,0.6055230668826415,0.0022286260680914544,0.6071515579471374
Ccn,0.25,0.6065294589445238,0.0025840460997685385,0.6071515579471374
Ccn,0.3333333333333333,0.6072922979652032,0.002870221723345548,0.6071515579471374
Ccn,0.41666666666666663,0.6049916807944873,0.0031572256690460734,0.6071515579471374
Ccn,0.5,0.6057079822935169,0.0034103006699981783,0.6071515579471374
Ccn,0.5833333333333333,0.6063607293292177,0.0036641644276463516,0.6071515579471374
Ccn,0.6666666666666666,0.6064414635669175,0.003918842567941968,0.6071515579471374
Ccn,0.75,0.6068801074586403,0.004185710762491719,0.6071515579471374
Ccn,0.8333333333333333,0.6074818429560205,0.004456797972596387,0.6071515579471374
Ccn,0.9166666666666666,0.6065738732018962,0.004781445316791123,0.6071515579471374
Can,0.0,0.8115403665330239,0.0,0.8115403665330239
Can,0.08333333333333333,0.8097556292165773,0.0023076288608074444,0.8115403665330239
Can,0.16666666666666666,0.8091405778393101,0.0030481510933639115,0.8115403665330239
Can,0.25,0.8107709985848442,0.0035526643203768007,0.8115403665330239
Can,0.3333333333333333,0.8121524023993183,0.003957249444391158,0.8115403665330239
Can,0.41666666666666663,0.8088010351081018,0.004356051863196164,0.8115403665330239
Can,0.5,0.8096939365977464,0.004706579480052846,0.8115403665330239
Can,0.5833333333333333,0.8104339462471088,0.005054803427859895,0.8115403665330239
Can,0.6666666666666666,0.8107894145459265,0.00541163722720173,0.8115403665330239
Can,0.75,0.8116789639809416,0.005774652015430181,0.8115403665330239
Can,0.8333333333333333,0.811859351211626,0.006124467971790389,0.8115403665330239
Can,0.9166666666666666,0.8108886857373688,0.006550172575798273,0.8115403665330239
